تصنيف المستوى الأول,تصنيف المستوى الثاني,الاستفسارات الظاهرة للمستفيد الخارجي,الكلمات المفتاحية للاستفسار,الإجابة,الاستفسار بصياغة أخرى - 1,الاستفسار بصياغة أخرى - 2,الاستفسار بصياغة أخرى - 3
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,كيف يمكن اظهار الصلاحيات في القائمة الرئيسية لنظام الخدمة الذاتية (فارس) ؟,اظهار - صلاحية - فارس - قائمة,يتم اختيار الإعداد الشخصي سيظهر حقل يوجد به (المسؤوليات المخفية – المسؤوليات المعروضة - كل المسؤوليات) يتم إختيار (كل المسؤوليات) ثم يتم تحديد الصلاحيات ثم النقر على تطبيق وستظهر لك الصلاحيات أو يتم التواصل مع مسؤولي الدعم بالإدارة لإضافتها .,كيف اطلع الصلاحيات المخفية في فارس,الصلاحيات في فارس ما تطلع لي,كيف اقدر اظهر الصلاحيات في فارس
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,ما هو رابط الخدمة الذاتية فارس ,رابط - فارس - موقع - بوابة,"رابط الخدمة الذاتية لنظام فارس: 
https://sshr.moe.gov.sa/",أرغب برابط بوابة نظام فارس ,ممكن تفيدني برابط نظام فارس ,ممكن تعطيني موقع نظام فارس 
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,هل نظام فارس يشمل الموظفين في المدارس الأهلية؟,اهلي - مدرس - تسجيل - فارس - نظام ,"لا،  نظام فارس لايشمل الموظفين في المدارس الأهلية",هل يمكن التسجيل في نظام فارس وانا معلم أو موظف في مدرسة اهلية ,انا موظف اداري في مدرسه اهلية وابي اسجل في نظام فارس ,ما هي خطوات التسجيل في نظام فارس ونا موظف اهلي 
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,الصلاحيات و الأيقونات المستحدثة في نظام فارس الخدمة الذاتية ,ايقونه - ايقونات - فاري,"الخدمة الذاتية للنقل 
نقل في نفس الإدارة – نقل الى ادارة اخرى (للإداري)
الخدمة الذاتية للإعارة (اداري)
الخدمة الذاتية للتحويل للعمل الإداري (للمعلم )
تحسين المستوى /الوضع بسبب مؤهل  (للمعلم و الإداري )
التكليف  (للإداري )",وش هي الايقونات المستحدثة في فارس,ايش يعني ايقونات مستحثة ؟,ماعي الايقونات المستحثة بنظام فارس ؟
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,الية الحصول على نموذج او خطاب بيان خدمة :,نموذ- - بيان - خدمة - خطاب ,"يتم من خلال ادارة التعليم التابعة لك قسم شؤون الموظفين . 
او رفع طلب من خلال خدمة (طلب بيان خدمة) مع ارفاق البريد الإلكتروني في تفاصيل الطلب ليتم ارسال النموذج له عبر الايميل من قبل جهة الإختصاص ",كيف اقدر اخذ بيان خدمة ,شلون اخذ بيان الخدمة ؟,الية اخذ بيان الخدمة ؟
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,"ماهو نظام بوابة الموردين؟
",بوابة - موردين - نظام ,"نظام بوابة الموردين 
هو نظام يربط الموردين إلكترونيًّا بنظام فارس.
يقوم بتسهيل عملية التواصل ما بين الموردين والوزارة.
يمكن المورد من تقديم المستخلصات والفواتير إلكترونيًّا.
يمكن المورد من متابعة حالة المعاملات الخاصة به إلكترونيًّا.
ويمكن زيارة بوابة الموردين عن طريق استخدام الصلاحيات الممنوحة للموردين، وذلك عن طريق موقع نظام فارس",وش هي بوابة الموردين ,ماهو نظام بوابة الموردين ؟,وين احصل بوابة الموردين ؟
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,"ماهي آلية الحصول على بيان الخدمة لكل من يتبع لإدارة تعليم الشرقية ؟
",كيفية-حصول-بيان-خدمة-شرقية,"بامكانك الحصول على بيان خدمة من خلال نظام فارس (الخدمة الذاتية) من صلاحية الخدمة الذاتية للموظف
ثم قائمة الاستعلامات
ثم بيان السجل التاريخي للموظف
وهو معتمد
",كيفية الحصول على بيان الخدمة في إدارة تعليم الشرقية؟,ماهي آلية الحصول على بيان الخدمة في إدارة تعليم الشرقية؟,ومن اعرف طريقة الحصول على بيان الخدمة في إدارة تعليم الشرقية؟
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,ما الغرض من ظهور أيقونة جديدة في نظام فارس ( اضافة تابع/مرافق )؟,خدمة-إضافة-تابع-مرافق-نظام-فارس ,"هي خدمة تهدف الى تسجيل بيانات التابعين للموظف/ة و التي سيتم فيما بعد الاستفادة منها في خدمات أخرى مثل أمر الإركاب . 
",ماهي خدمة إضافة مرافق-تابع للموظف في نظام فارس؟,مالمقصود بخدمة مرافق - تابع للموظف في نظام فارس,ظهرت لي أيقونة (اضافة مرافق - تابع للموظف) مالفائدة منها ؟
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,شرح صلاحية ادخال قرار كف اليد في نظام فارس الخدمة الذاتية :,خطوات- الية- فارس- كف- اليد,"يتم ادخال قرار كف اليد في نظام فارس من خلال حساب القائد من صلاحية خدمة ذاتية للمدير ثم قائمة طلبات المدير ثم ستظهر قائمة باسماء الموظفين كاملة يتم تحديد اسم الموظف الذي يرغب بادخال قرار كف اليد له والنقر مقابل اسمه ثم اضافة 
ثم تحديد سبب كف اليد وذلك بناء على الخطاب المرفوع للإدارة ورقم الخطاب و تاريخه 
ثم ادخال تاريخ بداية كف اليد للموظف ثم تطبيق ثم التالي ثم اضافة المرفقات وسيظهر المعتمدون ثم تنفيذ لتنتهي اجراءات تقديم الطلب ",خطوات ادراج قرار كف اليد في نظام فارس؟,ويش هي خطوات ادراج قرار كف  اليد ,ماهي آلية ادراج قرار كفاليد في فارس 
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,كيف يمكن الاستفاده من خدمات المكتبة الرقمية السعودية الخاصة بالدورات التدريبية ؟ في نظام فارس,خدمات-مكتبة - رقمية-دورات-تدريبة-نظام-فارس,"الان يمكن للمستفيدين من نظام فارس الاستفادة من خدمات المكتبة الرقمية السعودية الخاصة بالدورات التدريبية ,بدون الحاجة للتسجيل وذلك من خلال الرابط الموجود في حسابك الخاص بنظام فارس  
https://sdl.edu.sa/SDLPortal/ar/Publishers.aspx",كيف استفيد من خدمات المكتبة الرقمية السعودية الخاصة بالدورات التدريبية ؟,من وين استفيد من خدمات المكتبة الرقمية السعودية الخاصة بالدورات التدريبية ؟,كيف استفيد من خدمات المكتبة الرقمية السعودية الخاصة بالدورات التدريبية ؟ 
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,"ما هي الدورات المعتمدة لإدخالها في نظام فارس : 
",دورات - فارس - معتمد - نظام - التدريبية,"المؤسسة العامة للتدريب التقني و المهني 
الحوار الوطني 
الهيئة السعودية للمحاسبين القانونيين 
معهد الإدارة 
يسر للتعاملات الحكومية الالكترونية ",ماهي الدورات المعتمدة التي تدخل في نظام فارس,ممكن اعرف ا الدورات المعتمدة التي تدخل في نظام فارس,ابي اقدم على الدورات ولكن ماهي  الدورات المعتمدة التي تدخل في نظام فارس
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,"أثناء تحديث بياناتي في مكان العمل  ..لم تظهر لي أيقونة تطبيق بعد الانتهاء من تحديث البيانات ؟
",مكان - عمل - فارس - تحديث - بياناتى ,صاحب التحديث من الكادر التعليمي الغير مخول لتقديم تحديث بيانات في هذه الخانة,مالحل عندما تواجهني مشكلة في تحديث  مكان العمل في نظام فارس؟,خطوات تحديث مكان العمل ؟,ماهي طريقة تحديث مكان العمل ؟
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,كيف يتم معرفة من هو المدير المباشر في نظام فارس من حساب المعلم  ؟,مدير - مباشر - فارس - اطلاع - اسم ,من قائمة صلاحية الخدمة الذاتية للموظف قائمة الاستعلامات بيانات السجل التاريخي للموظف يظهر اسم المدير,كيف اعرف اسم مديري في نظام فارس؟,اسم مديري لا يظهر لدي بفارس ؟,هل استطيع الاطلاع على اسم مديري عبر نظام فارس ؟
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,شرح صلاحية بياناتي في نظام فارس ؟,صلاحية - بياناتي ,"بامكانك الاطلاع على الرابط التالي :
صلاحية بياناتي في نظام فارس : 
https://www.youtube.com/watch?v=sfmydPhfkkU",وش يعني صلاحية بياناتيفي نظام فارس و كيف استفيد منها ,شرح صلاحية بياناتي في نظام فارس ,ماهي الية صلاحية بيانتي ؟
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية, مالمقصود ب أيقونة ( الوحدة ) عند عند اضافة  دورات تدريبية في نظام فارس ؟,إضافة-دورة-تدريبية-إيقونة-وحدة ,"المقصود بها هي مدة الدورة التدريبية ( اسبوع – شهر – يوم ) 
",عند إضافة دورات تدريبية  في نظام فارس تظهر ايقونة الوحدة ماذا يعني ذلك؟,عندما  إضيف دورات تدريبية  في نظام فارس تظهر ايقونة الوحدة ماذا يعني ذلك؟,ماهو الحل اذا إضافة دورات تدريبية  في نظام فارس تظهر ايقونة الوحدة ماذا يعني ذلك؟
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,تاريخ المباشرة في الوزارة ( التعليم ) : ,مباشره - تاريخ - وزاره - تعليم,"هو تاريخ أوّل يوم تم تسجيل الاسم والتوقيع في سجل الدوام في أوّل مدرسة ، وقامت هذه المدرسة برفع المباشرة إلى إدارة التعليم التي كانت تابعة لها 
",كيف اعرف تاريخ مباشرتي في الوزارة ,من وين اعرف مباشرتي في التعليم ,من وين اشوف مباشرتي في وزارة التعليم 
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,"مالحل لمتعين جديد و لاتظهر لديه بيانات في نظام فارس ويظهر السجل غير موجود ؟
",متعين - جديد - ظهور - اشعار سجل - غير - موجود ,"مراجعة قسم شؤون الموظفين لادراج قاعدة البيانات في نظام فارس أو رفع خطاب من قبل قائدة المدرسة
أو يمكن خدمته عن طريق رفع طلب تواصل إلى مشكلة ذاتية تسجيل بالنظام  ",مالحل لمشكلة ظهور عبارة السجل غير موجود لما اسجل في نظام فارس و انا متعين جديد ,ايش يعني عبارة السجل غير موجود اذا جيت اسجل في نظام فارس ؟,لماذا تظهر لدي عبارة السجل غير موجود لما اسجل في نظام فارس ؟
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,"أين توجد ايقونة تحديث الإجراء في نظام فارس للتعديل على بيانات الطلب و مرفقاته اذا كان معلق لدى القائد ؟


كيف يمكن التعديل  على مرفقات الطلب في نظام فارس اذا كان معلق لدى القائد ؟",خطوات-تعديل-طلب-معلق-مدير-نظام-فارس,"ايقونة ( تحديث الإجراء ) موجودة  داخل اشعار الطلب
 و التي تمكن المدير من التعديل على بيانات الطلب الخاص بالموظف اذا كان معلق لديه  بعد رفعه مثل  ( اجازة – ترقي – تقاعد ) و اضافة المرفقات الناقصة دون رفضه أو اعادته للموظف .. 
و ذلك بدخول المدير الى على القائمة الكاملة ثم اختيار اشعار الطلب و النزول لأسفل الصفحة و اختيار ايقونة ( تحديث الإجراء ) 
ليتمكن بالتعديل اما على البيانات او المرفقات .. 
",وش خطوات التعديل على الطلب المرفوع في نظام فارس إذا كان الطلب معلق لدى المدير؟,ماهي خطوات التعديل على الطلب المرفوع في نظام فارس إذا كان الطلب معلق لدى المدير؟,من وين خطوات التعديل على الطلب المرفوع في نظام فارس إذا كان الطلب معلق لدى المدير؟
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,ماهو حل مشكلة ظهور اشعار  (( يجب تأكيد البيانات ))  أعلى الصفحه اثناء التقديم على طلب الترقية و اكمال البيانات  و التقر على ارسال للموافقة؟,تقديم-طلب-ترقية-إشعار ,"يلزم التأكد من  وضع علامة ( صح ) في خانة (( آمل قراءة التعليمات قبل تعبئة بيانات الترقية ))  الموجودة في خانة البيانات الشخصية و الوظيفية للموظف . 
و  وضع علامة ( صح ) ايضاً في نص الإقرار اسفل الصفحة .   ثم حفظ ثم ارسال للموافقة . 
",عند التقديم على طلب ترقية يظهر إشعار( يجب تأكيد البيانات)  في نظام فارس,عندما اتقدم بطلب ترقية يظهر إشعار( يجب تأكيد البيانات)  في نظام فارس,اثناء رقع طلب ترقية يظهر إشعار( يجب تأكيد البيانات)  في نظام فارس
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,"ماهو حل مشكلة عدم وجود بيانات (المؤهل - المعدل ) في طلب الايفاد (نظام فارس)؟
",تقديم-إيفاد-مؤهل-معدل-نظام-فارس,"لإضافة بيانات ( المؤهل – المعدل ) في طلب الايفاد في نظام فارس
من خلال صلاحية بياناتي > المؤهلات > إضافة > تعبئة البيانات المطلوبة > التالي > إرفاق الشهادة > تنفيذ
وبعد اعتماد سلسلة المعتمدين ستظهر جميع البيانات في طلب الإيفاد",عند التقديم لطلب الإيفاد  في نظام فارس لا يوجد مؤهل ومعدل؟,كيف اضيف المؤهل في نظام فارس,كيف اضيف المعدل في نظام فارس
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,ماهي طريقه تعديل مسير الرواتب  (ادارة تعليم الرياض ) ؟ ,تعديل-مسير-رواتب-رياض,"لتعديل مسير الرواتب لابد من احضار مايلي / 
صورة من قرار النقل 
صورة من اخلاء الطرف من مديرتك السابقة 
لادارة تعليم الرياض ادارة الموارد البشرية قسم الرواتب غرفة رقم (11)",ماهي خطوات تعديل مسير الرواتب في إدارة تعليم الرياض؟,ويش هي  خطوات تعديل مسير الرواتب في إدارة تعليم الرياض؟,من وين اعرف  خطوات تعديل مسير الرواتب في إدارة تعليم الرياض؟
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,كيف اتمكن من تعديل تاريخ الميلاد في نظام فارس الخدمة الذاتية ؟  ,تعديل - تاريخ - ميلاد - فارس ,ما زالت بعض البيانات مغلق التعديل عليها عن طريق النظام ولا يمكن تعديلها إلى من خلال  مراجعة إدارة التعليم التابعة قسم شؤون الموظفين مع إحضار الأوراق الثبوتية ليتم تعديلها  .. مثل  ..الاسم و تاريخ الميلاد أو برفع تذكرة عبر تواصل واختيار خدمة ( تعديل البيانات الأساسية ) و ارفاق الأوراق الثبوتية . ,كيف اعدل تاريخ ميلادي في فارس,هل استطيع تديل تاريخ ميلادي في فارس,ويش هي الية تعديل تاريخ الميلاد في فارس
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,"ما هو تاريخ قرار التعيين :
",قرار - تعيين - تاريخ -,"هو تاريخ صدور القرار بأسماء شاغلي الوظائف التعليمية 
",كيف اعرف تاريخ قرار تعييني ,من وين اعرف قرار تعييني ,كيف اطُلع على تاريخ قرار التعيين 
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,"ماهي الية تعديل الاسم في نظام فارس ؟

ماهي طريقة تعديل الاسم في نظام فارس ؟ 
",خطوات-تعديل-اسم-بيانات-شخصية-نظام-فارس,بالامكان رفع تذكرة  عبر بوابة تواصل إلى إدارة اتعليم ومن ثم يتم اختيار خدمة (تعديل البيانات الشخصية) مع اضافة صورة من كرت العائلة أو خطاب الأحوال المدنية بعد التعديل )),خطوات تعديل الاسم في نظام فارس؟,ماهي خطوات تعديل الاسم في نظام فارس؟,ويش هي خطوات تعديل الاسم في نظام فارس؟
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,"هل أستطيع تعديل البيانات الأساسية مثل رقم جوال – مكان العمل – البريد الإلكتروني في نظام الخدمة الذاتية فارس؟
",تعديل - تغيير - بيرد - ايميل - رقم - هاتف - جوال - فارس,"نعم، يمكن تغيير رقم الجوال، والبريد الإلكتروني، ومنطقة الإقامة من خلال صلاحية بياناتي.",كيف اعدل رقم الجوال و مكان العمل و البريد او الايميل في نظام فارس ,اقدر اعدل رقم الجوال في نظام فارس ,كيف اعدل الايميل من خلال صلاحية بياناتي 
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,لمعرفة بيانات الموظف الاساسية (الشخصية)  في نظام فارس :,بيانات - موظف - اساسي - فارس - شخصي ,"من خلال صلاحية الخدمة الذاتية للموظف ثم قائمة الاستعلامات ثم البيانات الأساسية للموظف 
ستتمكن من الإطلاع على الاسم بالكامل – الحالة الاجتماعية – تاريخ الميلاد _رقم المعرف المدني _ البريد – الجوال ",كيف اطلع على  بياناتي الأساسية في فارس كموظف,ايش هي الية الاطلاع على بيانتي الاساسية في فارس,ماهي خطوات اظهار بيانتي في نظام فارس
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,ماهو تفسير عبارة ( الحساب البنكي مجمد بسبب قرض علما بأنه لايوجد لدي قرض وحسابي غير مجمد  ) عند الدخول لنظام فارس من خلال صلاحية بياناتي – الملف الشخصي – ؟,حساب-بنك-مجمد-بياناتي-نظام-فارس,هذا المصطلح ( مجمد ) عبارة لها دلالة مرتبطه بالنظام وليس لها اي تاثير في ايداع اي استحقاق مالي ,عند الدخول لبياناتي في نظام فارس يظهر عبارة(( الحساب البنكي مجمد بسبب قرض علما بأنه لايوجد لدي قرض وحسابي غير مجمد )) هل ذلك يسبب لي مشكلة.؟,مامعنى (( الحساب البنكي مجمد بسبب قرض علما بأنه لايوجد لدي قرض وحسابي غير مجمد ))؟,(( الحساب البنكي مجمد بسبب قرض علما بأنه لايوجد لدي قرض وحسابي غير مجمد )) الرسالة موجودة في نظام فارس ايش المشكلة ؟
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,"ماحل مشكلة ظهور الايبان غير موجود عند الدخول لنظام فارس (متعين جديد )؟
",تسجيل-دخول-نظام-متعيين-جديد-خطأ -إيبان--غير-موجود-نظام-فارس,"اذا ظهر رقم الايبان غير موجود  فلابد من رفع المباشرة من حساب المدير في فارس .
  مع ادخال رقم الايبان وتعتمد من قبل شؤون المعلمين
بعد ذلك يتم ابلاغ المباشرة في نظام فارس من قبل المعلم وسيكون رقم الايبان موجود، ومن ثم بالامكان الاستفادة من الصلاحيات في نظام فارس.
",عند تسجيل الدخول  لمتعيين جديد بنظام فارس يظهر خطأ ان الإيبان غير موجود؟,ماهو معنى القرارات المثبتة في فارس ,ماهي  القرارات المثبتة في فارس
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,متعين جديد يرغب بابلاغ المباشرة بعد التعيين  في نظام فارس ويظهر له أن رقم الايبان غير صحيح:,إيبان-غير-مطابق-تعيين- نظام -فارس ,التأكد  من إدخال SA  أحرف كبيرة والتأكد من تسجيل رقم الآيبان بالشكل الصحيح من قبل المدير المباشر  بعد رفعه من نظام نور وأنه تم اعتماده بشكل كلي من شؤون المعلمين ,عند محاولة رفع إبلاغ المباشرة بعد قرار التعيين يظهر رقم الايبان غير مطابق؟,لماذا يظهر ان رقم الايبان غير مطابق عند ابلاغ المباشرة ,ويش سبب ان رقم الايبان غير مطابق للمتعين فارس 
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية, ألية التسجيل في نظام فارس للمورد صاحب المؤسسة او شركة لإتمام معاملات مع الوزارة   :,كيفية- تسجيل-مورد- شركة-نظام-فارس ,"بإمكانك التوجه إلى إدارة المشتريات مع الأوراق الرسمية الخاصة بالمؤسسة أو الشركة ( السعودة ، الزكاة والدخل ، التأمينات الاجتماعية ، الغرفة التجارية ، السجل التجاري ).",كيفية تسجيل الموردين والشركات في نظام فارس؟,من وين يسجلون الموردين في فارس ,كيف يكون تسجيل الموردين والشركات في فارس 
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,ما هي خطوات تسجيل مستخدم جديد في نظام فارس الخدمة الذاتية ؟,خطوات - تسجيل - انشاء - مستخدم - جديد - فارس ,"للإطلاع على خطوات تسجيل مستخدم جديد في نظام فارس على الرابط :
https://youtu.be/PgGDshC8xn8",كيف انشئ مستخدم جديد في نظام فارس؟,ماهي خطوات  انشاء مستخدم جديدفي فارس ؟,ايش طريقة انشاء مستخدم جديد في نظام فاترس
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,ماذا تعني الرسالة التي تفيد: بأن الحساب البنكي غير مطابق في الخدمة الذاتية فارس؟,حساب - بنك - غير - مطابق - فارس,"هذا يعني أنه يجب التأكد من طريقة الإدخال 24 خانة مع  SA كابيتل، وأن الحساب المدخل هو نفس الحساب الذي يحول إليه الراتب، وللتأكد عليكم مراجعة الإدارة التابعة لكم قسم شؤون الموظفين وأخذ رقم الآيبان المسجل لدى الإدارة، لأن بعض البنوك لديها رقمين للآيبان، والنظام يعتمد على رقم الآيبان المسجل في الإدارة، أو يمكنكم رفع طلب عبر نظام تواصل إلى (الرواتب والبدلات)  مع إرفاق صورة من الآيبان البنكي.",حل مشكلة الحساب البنكي غير مطابق في فارس ,ابي اغير كلمة السر  ولكن الحساب البنكي غير مطابق في فارس ,عند تغيير كلمة السر يظهر  الحساب البنكي غير مطابق في فارس 
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,كيف يمكن استعادة كلمة السر نظام الخدمة الذاتية فارس؟,استعادة - استرداد - تغيير - كلمة - سر - فارس," يمكنكم استعادة كلمة السر من نفس شاشة التسجيل من خلال تحديد تغيير كلمة السر، وتعبئة الحقول المطلوبة، ثم الضغط على تنفيذ ليتم إرسال كلمة المرور الجديدة.",طريقة و خطوات استرداد كلمة السر في نظام فارس ,هل استطيع استرداد كلمة السر في نظام فارس,وشلون استرداد كلمة السر في نظام فارس
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,طريقة وخطوات تغيير كلمة السر في نظام الخدمة الذاتية فارس ؟,خطوات - الية - طريقة - تغيير - كلمة - سر - فارس ,"
نأمل الدخول على النظام واختيار تغيير كلمة السر
ثم اختيار العملية المطلوب تنفيذها تغيير كلمة السر
و تعبئة البيانات وستصل كلمة مرور مؤقته على رقم جوالك
يتم الدخول بها بعد ذلك تغييرها لكلمة سر جديدة",كيف اغير كلمة السر في فارس,ايش طريقة  تغيير كلمة السر  في فارس ؟,ماهي خطوات تغيير كلمة السر  في فارس ؟
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,"ماهي طريقة و خطوات تغيير كلمة السر في نظام فارس ؟
",كيفية-طريقة-تغيير-كلمة-السر-نظام-فارس ,"
يمكنك الإطلاع على الرابط التالي لمعرفة خطوات تغيير كلمة السر في نظام فارس
https://www.youtube.com/watch?v=crMnshHMGTo&feature=share


 ",كيف اغير كلمة السر في نظام فارس ؟,من وين  اغير كلمة السر في نظام فارس ؟,وشلون اغير كلمة السر في نظام فارس ؟ 
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,الية اضافة رقم الجوال او تحديثه بعد الدخول لنظام فارس الخدمة الذاتية :,اضافة - نحديث - تعديل - رقم - جوال - فارس ,من خلال صلاحية بياناتي ثم المعلومات الشخصية . أو من خلال صلاحية خدمة ذاتية للموظف ثم قائمة استعلامات و الدخول الى ايقونة ارقام الهواتف ثم اضافة و اختيار المحمول ثم تدوين الرقم و تطبيق ,كيف اضيف رقم جوال بفارس او اعدله ,ايش هي الية  اضافة رقم الجوال في فارس,ماهي خطوات اضافة رقم جوالي في نظام فارس
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,"ماهي خطوات تغيير اللغة في نظام فارس بعد تسجيل الدخول؟
",طريقة-تغيير-لغة-نظام-فارس,"خطوات تغيير اللغة في نظام فارس بعد تسجيل الدخول من خلال الخطوات الاتية:
الى اللغة العربية :
Current Session Language-
Default Application Language-
Apply-
 
الى اللغة الانجليزية:
-التفضيلات 
-لغة الدورة الحالية
-لغة التطبيق الافتراضية
-تطبيق
",طريقة تغيير اللغة بعد الدخول  في نظام فارس؟,ويش هي طريقة تغيير اللغة بعد الدخول  في نظام فارس؟,وضح لي طريقة تغيير اللغة بعد الدخول  في نظام فارس؟
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,ما العمل عند ظهور رسالة (مسجل مسبقا) أثناء التسجيل في نظام الخدمة الذاتية (فارس) ,خطأ - تسجيل - جديد - فارس - مسجل - مسبق ,في هذه الحالة عليكم القيام بإستعادة كلمة المرور.,مشكلة اثناء التسجيل في نظام فارس بظهور إشعار ( مسجل مسبق) ,ابي اسجل في نظام فارس ولكن يظهر خطأ,وشلون اسجل في نظام فارس 
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية, الية الغاء غياب بحسم تم رفعه من قبل القائد :,الغاء - غياب - حسم - موظف ,"اذا صدر قرار من المدير بحسم الغياب فيتم الإجراء بالحسم .
و على مديرك رفع خطاب لإدارة الموارد البشرية في الإدارة التابعة لك بطلب الغاء الغياب مع توضيح الأسباب . ",كيف الغي غياب بحسم رفعته على موظف ,شلون يتم الغاء غياب حسم على موظف ؟,وش المقصود بإالغاء غياب  حسم تم رفعه على موظف ؟
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,مالإجراء المتبع من قبل القائد في حال غياب موظف بدون عذر ؟,غياب - بدون - عذر ,يقوم المدير برفع ابلاغ غياب للحسم اذا لم يتقدم الموظف برفع اجازته في النظام مع ارفاق خطاب المسائلة .,وش الإجراء في حال غبت من غير عذر,غبت بدون عذر هل سيتم الحسم ام لا,غبت بدون عذر وش الي يترتب علي
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,"ما هي خطوات تبليغ و حسم غياب موظف في نظام فارس؟
",تبليغ - حسم - رفع - غياب - بدون - عذر,"للإطلاع على خطوات حسم غياب موظف في نظام فارس على الرابط :
https://youtu.be/uNT6O9_g8dw",كيف ارفع حسم على موظف  في نظام فارس,غياب موظف وابي ارفع فيه حسم ,ممكن تزودني خطوات  رفع حسم على موظف  في نظام فارس
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,"كيف يتم رفع الغياب بعذر و الغياب بدون عذر في نظام فارس ؟
",رفع - غياب - حسم - بدون - عذر - خطوات ,"رفع الغياب بعذر عن طريق رفع إجازة مرضية من حساب الموظف في نظام فارس
رفع الغياب بدون عذر يرفع كـ إجازة اضطرارية  من حساب الموظف حال توفر رصيد
و إن تعذر ماسبق يكون إبلاغ حسم غياب موظف من حساب القائد بعد ارفاق خطاب المسائلة ",كيف ارفع غيابي في نظام فارس؟,لا استطيع رفع غيابي في فارس ,طريقة رفع الغياب في فارس
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,عند رفع ابلاغ مباشرة بعد اجازة في نظام فارس ماذا يسجل في خانة وظيفة المدير : ,وظيفة - خانه - ابلاغ - مباشره ,يسجل في خانة وظيفة المدير : قائد مدرسة ,ماذا اكتب في خانه وظيفه المدير عند ابلاغ المباشرة بعد الاجازة في نظام فارس؟,ماهي وظية المدير المباشر في ابلاغ المباشرة ,ويش اكتب في وظية المدير المباشر في ابلاغ المباشرة في فارس 
مستوى الموظفين الاداريين,نظام فارس الخدمة الذاتية,"مالحل لمشكلة ظهور خطأ عند طلب الإجازة
( الحرف غير متطابق مع سلسلة الصيغة في الحزمة)",مشكلة - خطأ - عبارة - اشعار - الحرف - غير - مطابق - سلسلة - الصيغة - حزمة ,"1_ يجب إدخال التاريخ بالصيغة الصحيحة من اليمين لليسار السنة / الشهر / اليوم ولكتابة التاريخ بالشكل الصحيح يفضل استخدام أيقونة التقويم.
2- وفي حال استمرار المشكلة آمل منك الذهاب الى التفضيلات من القائمة الموجودة اعلى شعار فارس ومن ثم اختيار صيغة التاريخ واختيار الصيغة ماقبل الاخيرة في القائمة dd/mm/yyyy وبعد الحفظ سوف تحل المشكلة",وش حل مشكلة في ( الحرف غير متطابق مع سلسلة الصيغة في الحزمة) فارس ,كيف احل مشكلة في عدم تطابق سلسلة الصيغ في الحزمه ,ويش الحل لمشكلة في  سلسلة الصيغة
